Pais,Inmortalidad Infantil,Esperanza de Vida,Continente,Población
Afganistán,163.07,51.3,Asia,34656032
Albania,21.52,78.3,Europa,2876101
Alemania,4.16,80.7,Europa,82667685
Andorra,4.05,82.8,Europa,77281
Angola,191.19,56,África,28813463
Antigua y Barbuda,19.46,76.5,América,100963
Arabia Saudita,13.24,75.3,Asia,32275687
Argelia,31,76.8,África,40606052
Argentina,15.18,77.1,América,43847430
Armenia,23.28,74.6,Europa,2924816
Aruba,5.89,76.8,América,104822
Australia,4.69,82.2,Oceanía,24127159
Austria,4.66,81.5,Europa,8747358
Azerbaiyán,81.74,72.5,Europa,9762274
Bahamas,25.21,72.4,América,391232
Bangladés,62.6,73.2,Asia,162951560
Barbados,12.5,75.3,América,284996
Baréin,17.27,78.9,Asia,1425171
Bélgica,4.68,81,Europa,11348159
Belice,25.69,68.7,América,366954
Benín,85,61.9,África,10872298
Bermudas,8.53,81.3,América,65331
Bielorrusia,13.37,72.7,Europa,9507120
Bolivia,53.11,69.2,América,10887882
Bosnia y Herzegovina,21.05,76.7,Europa,3516816
Botsuana,54.58,54.5,África,2250260
Brasil,29.61,73.8,América,207652865
Brunéi Darussalam,12.61,77.2,Asia,423196
Bulgaria,20.55,74.5,Europa,7127822
Burkina Faso,97.57,55.5,África,18646433
Burundi,69.29,60.5,África,10524117
Bután,100.44,70.1,Asia,797765
Cabo Verde,47.77,72.1,África,539560
Camboya,71.48,64.5,Asia,15762370
Camerún,68.26,58.5,África,23439189
Canadá,4.75,81.9,América,36286425
Chad,93.82,50.2,África,14452543
Chile,8.8,78.8,América,17909754
China,24.18,75.5,Asia,1378665000
Chipre,7.18,78.7,Europa,1170125
Colombia,20.97,75.7,América,48653419
Comoras,74.93,64.2,África,795601
Congo,93.86,59.3,África,5125821
Costa de Marfil,90.83,58.7,África,23695919
Costa Rica,9.95,78.6,América,4857274
Croacia,6.84,75.9,Europa,4170600
Cuba,6.33,78.7,América,11475982
Curazao,7.5,77.82,América,159999
Dinamarca,4.56,79.4,Europa,5731118
Dominica,14.15,77,América,73543
Ecuador,23.66,76.8,América,16385068
Egipto,32.59,72.7,África,95688681
El Salvador,25.1,74.7,América,6344722
Emiratos Árabes Unidos,14.51,77.5,Asia,9269612
Eslovaquia,7.41,77.1,Europa,5428704
Eslovenia,4.45,78.2,Europa,2064845
España,4.42,81.7,Europa,46443959
Estado de Palestina,19.62,75,Asia,4551566
Estados Unidos,6.5,79.8,América,323127513
Estonia,7.87,76.7,Europa,1316481
Etiopía,95.32,62.2,África,102403196
Federacion Rusa,15.39,70.3,Asia,144342396
Filipinas,23.51,69.2,Asia,103320222
Finlandia,3.57,80.9,Europa,5495096
Fiyi,12.62,72.7,Oceanía,898760
Francia,4.26,81.8,Europa,66896109
Gabón,53.64,52.1,África,1979786
Gambia,72.02,64.9,África,2038501
Georgia,18.59,76.2,Europa,3719300
Ghana,51.43,66.6,África,28206728
Gibraltar,5.13,79.4,Europa,34408
Granada,14.62,74.3,América,107317
Grecia,5.53,80.5,Europa,10746740
Groenlandia,15.82,72.4,América,56186
Guam,6.94,79.58,Oceanía,162896
Guatemala,35.93,72.3,América,16582469
Guernsey,4.71,82.5,Europa,164541
Guinea,90.37,60.6,África,12395924
Guinea Ecuatorial,85.13,64.2,África,1221490
Guinea-Bisáu,107.17,50.6,África,1815698
Guyana,33.26,68.4,América,773303
Haití,73.45,63.8,América,10847334
Honduras,29.32,71.1,América,9112867
Hong Kong,2.97,82.9,Asia,7346700
Hungría,8.57,75.9,Europa,9817958
India,56.29,68.5,Asia,1324171354
Indonesia,35.6,72.7,Asia,261115456
Irak,50.25,74.9,Asia,37202572
Irán,41.58,71.4,Asia,80277428
Irlanda,5.39,80.8,Europa,4773095
Isla de Man,5.93,81.2,Europa,83737
Islandia,3.31,83,Europa,334252
Islas Caimán,8.19,81.2,América,60765
Islas Feroe,6.24,80.4,Europa,49117
Islas Marianas del Norte,7.11,78,Oceanía,55023
Islas Marshall,29.45,73.1,Oceanía,53066
Islas Salomón,21.29,75.3,Oceanía,599419
Islas Turcas y Caicos,15.67,79.8,América,34900
